Country,Type,Event,Date.effective,Link,X
Louisiana,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Louisiana,travel_restrictions,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Louisiana,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Louisiana,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Louisiana,Lockdown,placeholder,22.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Louisiana,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Louisiana,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response,placeholder
Maine,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maine,travel_restrictions,placeholder,2.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maine,Public events,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maine,sport,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maine,Lockdown,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maine,Self-isolating if ill,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maine,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,placeholder
Maryland,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Maryland,travel_restrictions,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Maryland,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Maryland,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Maryland,Lockdown,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Maryland,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Maryland,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Impact_on_sports,placeholder
Massachusetts,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Massachusetts,travel_restrictions,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Massachusetts,Public events,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Massachusetts,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Massachusetts,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Massachusetts,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Massachusetts,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,placeholder
Michigan,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
Michigan,travel_restrictions,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
Michigan,Public events,placeholder,13.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
Michigan,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
